timestamp,fps,tracking_state,pixel_error,angular_error_urad,boresight_urad,az_urad,el_urad,pat_stage,handoff_count,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-09-06T21:01:29,60.00,LOCKED,9.2407,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8631,0.00,1,ai+fusion
2026-09-06T21:01:31,60.00,LOCKED,24.6655,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8677,0.00,1,ai+fusion
2026-09-06T21:01:32,60.00,LOCKED,31.9614,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8479,0.00,1,ai+fusion
2026-09-06T21:01:34,60.00,LOCKED,30.1338,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8276,0.00,1,ai+fusion
2026-09-06T21:01:36,60.00,LOCKED,36.9090,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8131,0.00,1,ai+fusion
2026-09-06T21:01:38,60.00,LOCKED,36.4815,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8062,0.00,1,ai+fusion
2026-09-06T21:01:40,60.00,LOCKED,41.6803,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8068,0.00,1,ai+fusion
2026-09-06T21:01:41,60.00,LOCKED,41.5312,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8100,0.00,1,ai+fusion
2026-09-06T21:01:43,60.00,LOCKED,39.0111,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8127,0.00,1,ai+fusion
2026-09-06T21:01:45,60.00,LOCKED,37.1831,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8148,0.00,1,ai+fusion
2026-09-06T21:01:47,60.00,LOCKED,33.3462,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8163,0.00,1,ai+fusion
2026-09-06T21:01:49,60.00,LOCKED,31.3514,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8184,0.00,1,ai+fusion
2026-09-06T21:01:50,60.00,LOCKED,38.2326,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8195,0.00,1,ai+fusion
2026-09-06T21:01:52,60.00,LOCKED,37.4292,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8187,0.00,1,ai+fusion
2026-09-06T21:01:54,60.00,LOCKED,41.3908,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8169,0.00,1,ai+fusion
2026-09-06T21:01:56,60.00,LOCKED,42.8275,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8141,0.00,1,ai+fusion
2026-09-06T21:01:58,60.00,LOCKED,38.3645,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8115,0.00,1,ai+fusion
2026-09-06T21:02:00,60.00,LOCKED,35.8813,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8114,0.00,1,ai+fusion
2026-09-06T21:02:02,60.00,LOCKED,31.2105,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8138,0.00,1,ai+fusion
2026-09-06T21:02:04,60.00,LOCKED,31.0040,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8180,0.00,1,ai+fusion
2026-09-06T21:02:06,60.00,LOCKED,36.4926,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8201,0.00,1,ai+fusion
2026-09-06T21:02:07,60.00,LOCKED,38.0472,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8196,0.00,1,ai+fusion
2026-09-06T21:02:09,60.00,LOCKED,41.6346,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8172,0.00,1,ai+fusion
2026-09-06T21:02:11,60.00,LOCKED,40.6796,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8137,0.00,1,ai+fusion
2026-09-06T21:02:13,60.00,LOCKED,38.8712,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8117,0.00,1,ai+fusion
2026-09-06T21:02:15,60.00,LOCKED,35.1180,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8122,0.00,1,ai+fusion
2026-09-06T21:02:17,60.00,LOCKED,30.5917,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8149,0.00,1,ai+fusion
2026-09-06T21:02:18,60.00,LOCKED,34.7526,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8188,0.00,1,ai+fusion
2026-09-06T21:02:20,60.00,LOCKED,35.9306,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8197,0.00,1,ai+fusion
