timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T10:30:32,60.61,LOCKED,6.6090,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:33,60.24,LOCKED,24.6587,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:34,60.98,LOCKED,34.6009,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:35,62.11,LOCKED,35.4157,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:36,59.88,LOCKED,36.9262,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:37,60.61,LOCKED,37.2938,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:38,60.61,LOCKED,36.7840,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:39,60.24,LOCKED,36.4336,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:40,59.88,LOCKED,36.0733,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:41,59.52,LOCKED,35.9699,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:42,60.61,LOCKED,35.9796,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:43,60.24,LOCKED,36.7243,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:44,59.17,LOCKED,37.4799,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:45,59.88,LOCKED,37.1254,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:46,60.24,LOCKED,36.8686,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:47,60.24,LOCKED,36.1633,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:48,58.48,LOCKED,36.2679,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:49,59.88,LOCKED,35.8521,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:50,61.73,LOCKED,36.0722,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:51,58.82,LOCKED,37.1309,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:52,61.35,LOCKED,37.0330,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:53,60.98,LOCKED,37.2519,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:54,59.17,LOCKED,36.8693,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:55,60.98,LOCKED,36.1035,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:56,60.98,LOCKED,35.6843,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:57,59.88,LOCKED,35.9654,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:58,59.88,LOCKED,36.3144,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:30:59,60.61,LOCKED,36.8926,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:00,60.98,LOCKED,37.1686,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:01,59.52,LOCKED,37.3001,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:02,60.98,LOCKED,36.4509,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:03,61.35,LOCKED,35.9428,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:04,60.98,LOCKED,35.7351,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:05,59.88,LOCKED,35.9957,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:06,61.73,LOCKED,36.2989,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:07,61.35,LOCKED,37.0313,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:08,60.61,LOCKED,37.1756,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:09,59.17,LOCKED,37.0232,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:10,60.24,LOCKED,36.4005,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:31:11,60.24,LOCKED,35.9841,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
