timestamp,fps,tracking_state,pixel_error,angular_error_urad,boresight_urad,az_urad,el_urad,pat_stage,handoff_count,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-09-06T21:01:01,60.00,LOCKED,6.4629,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8641,0.00,1,classical
2026-09-06T21:01:02,60.00,LOCKED,24.6173,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8697,0.00,1,classical
2026-09-06T21:01:03,60.00,LOCKED,34.7303,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8491,0.00,1,classical
2026-09-06T21:01:04,60.00,LOCKED,35.6549,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8258,0.00,1,classical
2026-09-06T21:01:04,60.00,LOCKED,36.8193,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8090,0.00,1,classical
2026-09-06T21:01:05,60.00,LOCKED,37.3145,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8020,0.00,1,classical
2026-09-06T21:01:06,60.00,LOCKED,36.9292,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8039,0.00,1,classical
2026-09-06T21:01:07,60.00,LOCKED,36.3028,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8101,0.00,1,classical
2026-09-06T21:01:08,60.00,LOCKED,35.8114,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8161,0.00,1,classical
2026-09-06T21:01:09,60.00,LOCKED,35.8055,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8194,0.00,1,classical
2026-09-06T21:01:09,60.00,LOCKED,36.1616,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8198,0.00,1,classical
2026-09-06T21:01:10,60.00,LOCKED,36.7841,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8184,0.00,1,classical
2026-09-06T21:01:11,60.00,LOCKED,37.1330,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8165,0.00,1,classical
2026-09-06T21:01:12,60.00,LOCKED,37.1611,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8151,0.00,1,classical
2026-09-06T21:01:13,60.00,LOCKED,36.8695,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8146,0.00,1,classical
2026-09-06T21:01:13,60.00,LOCKED,36.2834,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8148,0.00,1,classical
2026-09-06T21:01:14,60.00,LOCKED,35.8806,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8156,0.00,1,classical
2026-09-06T21:01:15,60.00,LOCKED,35.9401,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8164,0.00,1,classical
2026-09-06T21:01:16,60.00,LOCKED,36.2088,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8169,0.00,1,classical
2026-09-06T21:01:16,60.00,LOCKED,36.8197,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8169,0.00,1,classical
2026-09-06T21:01:17,60.00,LOCKED,37.1893,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8163,0.00,1,classical
2026-09-06T21:01:18,60.00,LOCKED,37.1901,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8157,0.00,1,classical
2026-09-06T21:01:19,60.00,LOCKED,36.6867,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8153,0.00,1,classical
2026-09-06T21:01:19,60.00,LOCKED,36.1595,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8154,0.00,1,classical
2026-09-06T21:01:20,60.00,LOCKED,35.8511,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8159,0.00,1,classical
2026-09-06T21:01:21,60.00,LOCKED,35.9563,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8165,0.00,1,classical
2026-09-06T21:01:22,60.00,LOCKED,36.4062,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8168,0.00,1,classical
2026-09-06T21:01:22,60.00,LOCKED,36.9313,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8166,0.00,1,classical
2026-09-06T21:01:23,60.00,LOCKED,37.2548,0.0000,0.0000,0.0000,0.0000,COARSE,0,0.0000,0.0000,0.0500,0.8161,0.00,1,classical
