timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T10:29:03,61.35,LOCKED,6.6020,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:04,59.88,LOCKED,24.6882,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:05,60.24,LOCKED,34.7791,0.0000,0.0000,0.0000,0.8899,0.00,1,classical
2026-08-24T10:29:06,61.35,LOCKED,35.5642,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:07,59.88,LOCKED,36.7760,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:08,60.98,LOCKED,37.1891,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:09,61.35,LOCKED,36.7331,0.0000,0.0000,0.0000,0.8899,0.00,1,classical
2026-08-24T10:29:10,60.61,LOCKED,36.5283,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:11,59.52,LOCKED,36.0705,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:12,60.24,LOCKED,35.7895,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:13,59.52,LOCKED,36.3133,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:14,60.61,LOCKED,36.7376,0.0000,0.0000,0.0000,0.8899,0.00,1,classical
2026-08-24T10:29:15,60.98,LOCKED,37.0238,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:16,59.88,LOCKED,37.4525,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:17,60.24,LOCKED,36.7069,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:18,60.98,LOCKED,36.3686,0.0000,0.0000,0.0000,0.8899,0.00,1,classical
2026-08-24T10:29:19,59.52,LOCKED,35.9000,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:20,61.73,LOCKED,35.5823,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:21,60.24,LOCKED,36.3217,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:22,60.61,LOCKED,36.8164,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:29:23,62.11,LOCKED,36.9160,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
