timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T08:34:05,59.52,LOCKED,6.1762,0.0000,0.0000,0.0000,0.9918,0.00,1,classical
2026-08-24T08:34:06,60.24,LOCKED,24.0257,0.0000,0.0000,0.0000,0.9680,0.00,1,classical
2026-08-24T08:34:07,59.88,LOCKED,34.6891,0.0000,0.0000,0.0000,0.9537,0.00,1,classical
2026-08-24T08:34:08,60.24,LOCKED,35.7504,0.0000,0.0000,0.0000,0.9523,0.00,1,classical
2026-08-24T08:34:09,60.24,LOCKED,36.7350,0.0000,0.0000,0.0000,0.9510,0.00,1,classical
2026-08-24T08:34:10,60.61,LOCKED,37.2154,0.0000,0.0000,0.0000,0.9504,0.00,1,classical
2026-08-24T08:34:11,59.52,LOCKED,37.0009,0.0000,0.0000,0.0000,0.9507,0.00,1,classical
2026-08-24T08:34:12,60.61,LOCKED,36.2785,0.0000,0.0000,0.0000,0.9516,0.00,1,classical
2026-08-24T08:34:13,61.35,LOCKED,35.8436,0.0000,0.0000,0.0000,0.9522,0.00,1,classical
2026-08-24T08:34:14,60.98,LOCKED,35.7854,0.0000,0.0000,0.0000,0.9523,0.00,1,classical
2026-08-24T08:34:15,59.88,LOCKED,36.4766,0.0000,0.0000,0.0000,0.9514,0.00,1,classical
2026-08-24T08:34:16,60.98,LOCKED,36.5472,0.0000,0.0000,0.0000,0.9513,0.00,1,classical
2026-08-24T08:34:17,59.88,LOCKED,37.1476,0.0000,0.0000,0.0000,0.9505,0.00,1,classical
2026-08-24T08:34:18,59.52,LOCKED,37.3414,0.0000,0.0000,0.0000,0.9502,0.00,1,classical
2026-08-24T08:34:19,59.52,LOCKED,36.6818,0.0000,0.0000,0.0000,0.9511,0.00,1,classical
2026-08-24T08:34:20,60.24,LOCKED,36.1817,0.0000,0.0000,0.0000,0.9518,0.00,1,classical
2026-08-24T08:34:21,60.61,LOST,118.5500,0.0000,0.0000,0.0000,0.0000,0.48,1,classical
2026-08-24T08:34:22,61.35,LOCKED,3.3632,0.0000,0.0000,0.0000,0.9955,0.78,2,classical
2026-08-24T08:34:23,61.35,LOCKED,19.8075,0.0000,0.0000,0.0000,0.9736,0.78,2,classical
2026-08-24T08:34:24,60.98,LOCKED,34.1515,0.0000,0.0000,0.0000,0.9545,0.78,2,classical
2026-08-24T08:34:25,59.88,LOCKED,36.3893,0.0000,0.0000,0.0000,0.9515,0.78,2,classical
2026-08-24T08:34:26,61.35,LOCKED,36.5201,0.0000,0.0000,0.0000,0.9513,0.78,2,classical
2026-08-24T08:34:27,60.61,LOCKED,36.5960,0.0000,0.0000,0.0000,0.9512,0.78,2,classical
2026-08-24T08:34:28,60.24,LOCKED,36.1324,0.0000,0.0000,0.0000,0.9518,0.78,2,classical
2026-08-24T08:34:29,59.88,LOCKED,35.8541,0.0000,0.0000,0.0000,0.9522,0.78,2,classical
