timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T09:09:23,60.00,LOCKED,6.9130,4.0000,8.0000,0.2000,0.8788,0.00,1,ai
2026-08-24T09:09:24,60.00,LOCKED,25.4478,4.0000,8.0000,0.2000,0.8541,0.00,1,ai
2026-08-24T09:09:26,60.00,LOCKED,35.4047,4.0000,8.0000,0.2000,0.8408,0.00,1,ai
2026-08-24T09:09:27,60.00,LOCKED,35.5170,4.0000,8.0000,0.2000,0.8406,0.00,1,ai
2026-08-24T09:09:29,60.00,LOCKED,36.1708,4.0000,8.0000,0.2000,0.8398,0.00,1,ai
2026-08-24T09:09:30,60.00,LOCKED,36.5492,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:09:32,60.00,LOCKED,36.6530,4.0000,8.0000,0.2000,0.8391,0.00,1,ai
2026-08-24T09:09:33,60.00,LOCKED,36.1791,4.0000,8.0000,0.2000,0.8398,0.00,1,ai
2026-08-24T09:09:35,60.00,LOCKED,36.3573,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:36,60.00,LOCKED,36.4390,4.0000,8.0000,0.2000,0.8394,0.00,1,ai
2026-08-24T09:09:37,60.00,LOCKED,36.3377,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:39,60.00,LOCKED,36.5019,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:09:40,60.00,LOCKED,36.7540,4.0000,8.0000,0.2000,0.8390,0.00,1,ai
2026-08-24T09:09:42,60.00,LOCKED,36.2975,4.0000,8.0000,0.2000,0.8396,0.00,1,ai
2026-08-24T09:09:43,60.00,LOCKED,36.7273,4.0000,8.0000,0.2000,0.8390,0.00,1,ai
2026-08-24T09:09:45,60.00,LOCKED,37.0105,4.0000,8.0000,0.2000,0.8387,0.00,1,ai
2026-08-24T09:09:46,60.00,LOCKED,36.3246,4.0000,8.0000,0.2000,0.8396,0.00,1,ai
2026-08-24T09:09:47,60.00,LOCKED,36.8148,4.0000,8.0000,0.2000,0.8389,0.00,1,ai
2026-08-24T09:09:49,60.00,LOCKED,36.5402,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:09:50,60.00,LOCKED,36.3847,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:52,60.00,LOCKED,36.1844,4.0000,8.0000,0.2000,0.8398,0.00,1,ai
2026-08-24T09:09:53,60.00,LOCKED,36.3952,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:55,60.00,LOCKED,36.3674,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:56,60.00,LOCKED,36.3547,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:09:58,60.00,LOCKED,36.4376,4.0000,8.0000,0.2000,0.8394,0.00,1,ai
2026-08-24T09:09:59,60.00,LOCKED,36.5086,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:10:00,60.00,LOCKED,36.7848,4.0000,8.0000,0.2000,0.8390,0.00,1,ai
2026-08-24T09:10:02,60.00,LOCKED,36.4040,4.0000,8.0000,0.2000,0.8395,0.00,1,ai
2026-08-24T09:10:03,60.00,LOCKED,36.4922,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:10:05,60.00,LOCKED,36.5761,4.0000,8.0000,0.2000,0.8392,0.00,1,ai
2026-08-24T09:10:06,60.00,LOCKED,36.6822,4.0000,8.0000,0.2000,0.8391,0.00,1,ai
2026-08-24T09:10:08,60.00,LOCKED,36.2797,4.0000,8.0000,0.2000,0.8396,0.00,1,ai
2026-08-24T09:10:09,60.00,LOCKED,36.6777,4.0000,8.0000,0.2000,0.8391,0.00,1,ai
2026-08-24T09:10:11,60.00,LOCKED,36.5650,4.0000,8.0000,0.2000,0.8392,0.00,1,ai
2026-08-24T09:10:12,60.00,LOCKED,36.2752,4.0000,8.0000,0.2000,0.8396,0.00,1,ai
2026-08-24T09:10:13,60.00,LOCKED,36.6020,4.0000,8.0000,0.2000,0.8392,0.00,1,ai
2026-08-24T09:10:15,60.00,LOCKED,36.7665,4.0000,8.0000,0.2000,0.8390,0.00,1,ai
2026-08-24T09:10:16,60.00,LOCKED,36.6460,4.0000,8.0000,0.2000,0.8391,0.00,1,ai
2026-08-24T09:10:18,60.00,LOCKED,36.5564,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
2026-08-24T09:10:19,60.00,LOCKED,36.4361,4.0000,8.0000,0.2000,0.8394,0.00,1,ai
2026-08-24T09:10:21,60.00,LOCKED,36.9006,4.0000,8.0000,0.2000,0.8388,0.00,1,ai
2026-08-24T09:10:22,60.00,LOCKED,36.9508,4.0000,8.0000,0.2000,0.8387,0.00,1,ai
2026-08-24T09:10:24,60.00,LOCKED,36.6877,4.0000,8.0000,0.2000,0.8391,0.00,1,ai
2026-08-24T09:10:25,60.00,LOCKED,36.4965,4.0000,8.0000,0.2000,0.8393,0.00,1,ai
