timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T10:23:37,60.61,LOCKED,6.5119,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:23:38,59.52,LOCKED,24.4800,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:23:39,60.98,LOCKED,34.5931,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:23:43,60.98,COASTING,585.7299,0.0000,0.0000,0.0000,0.5077,0.00,1,ai
2026-08-24T10:23:44,60.98,LOST,741.9151,0.0000,0.0000,0.0000,0.0000,0.84,1,ai
2026-08-24T10:23:45,60.98,LOST,834.7439,0.0000,0.0000,0.0000,0.0000,1.84,1,ai
2026-08-24T10:23:46,61.73,LOST,861.1194,0.0000,0.0000,0.0000,0.0000,2.84,1,ai
2026-08-24T10:23:47,61.35,LOST,853.7529,0.0000,0.0000,0.0000,0.0000,3.85,1,ai
2026-08-24T10:23:48,60.61,LOST,882.9739,0.0000,0.0000,0.0000,0.0000,4.86,1,ai
2026-08-24T10:23:49,59.17,LOST,1010.5144,0.0000,0.0000,0.0000,0.0000,5.87,1,ai
2026-08-24T10:23:50,61.35,LOST,1219.8998,0.0000,0.0000,0.0000,0.0000,6.88,1,ai
2026-08-24T10:23:51,61.35,LOST,1442.1525,0.0000,0.0000,0.0000,0.0000,7.90,1,ai
2026-08-24T10:23:52,61.35,LOST,1614.3457,0.0000,0.0000,0.0000,0.0000,8.91,1,ai
2026-08-24T10:23:53,60.24,LOST,1703.3618,0.0000,0.0000,0.0000,0.0000,9.92,1,ai
2026-08-24T10:23:54,60.24,LOST,1719.6060,0.0000,0.0000,0.0000,0.0000,10.92,1,ai
2026-08-24T10:23:55,60.24,LOST,1713.3534,0.0000,0.0000,0.0000,0.0000,11.93,1,ai
2026-08-24T10:23:56,51.02,LOST,1757.5666,0.0000,0.0000,0.0000,0.0000,12.93,1,ai
2026-08-24T10:23:57,60.98,LOST,1899.0453,0.0000,0.0000,0.0000,0.0000,13.94,1,ai
2026-08-24T10:23:58,59.88,LOST,2113.5777,0.0000,0.0000,0.0000,0.0000,14.95,1,ai
2026-08-24T10:23:59,60.98,LOST,2333.5660,0.0000,0.0000,0.0000,0.0000,15.96,1,ai
2026-08-24T10:24:00,59.52,LOST,2496.4682,0.0000,0.0000,0.0000,0.0000,16.97,1,ai
2026-08-24T10:24:01,53.48,LOST,2570.7660,0.0000,0.0000,0.0000,0.0000,17.99,1,ai
2026-08-24T10:24:02,56.82,LOST,2576.9019,0.0000,0.0000,0.0000,0.0000,18.99,1,ai
