timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T09:10:27,60.00,LOCKED,5.9474,7.0000,15.0000,0.3500,0.7921,0.00,1,classical
2026-08-24T09:10:28,60.00,LOCKED,24.8944,7.0000,15.0000,0.3500,0.7668,0.00,1,classical
2026-08-24T09:10:29,60.00,LOCKED,35.0007,7.0000,15.0000,0.3500,0.7533,0.00,1,classical
2026-08-24T09:10:30,60.00,LOCKED,35.5179,7.0000,15.0000,0.3500,0.7526,0.00,1,classical
2026-08-24T09:10:31,60.00,COASTING,49.3966,7.0000,15.0000,0.3500,0.6041,0.00,1,classical
2026-08-24T09:10:32,60.00,LOCKED,36.8173,7.0000,15.0000,0.3500,0.7509,0.00,1,classical
2026-08-24T09:10:33,60.00,LOCKED,37.4516,7.0000,15.0000,0.3500,0.7501,0.00,1,classical
2026-08-24T09:10:34,60.00,LOCKED,35.7530,7.0000,15.0000,0.3500,0.7523,0.00,1,classical
2026-08-24T09:10:34,60.00,LOCKED,39.1727,7.0000,15.0000,0.3500,0.7478,0.00,1,classical
2026-08-24T09:10:35,60.00,LOCKED,35.6304,7.0000,15.0000,0.3500,0.7525,0.00,1,classical
2026-08-24T09:10:36,60.00,LOCKED,36.0694,7.0000,15.0000,0.3500,0.7519,0.00,1,classical
2026-08-24T09:10:37,60.00,LOCKED,36.6215,7.0000,15.0000,0.3500,0.7512,0.00,1,classical
2026-08-24T09:10:38,60.00,LOCKED,3.6413,7.0000,15.0000,0.3500,0.7951,0.02,2,classical
2026-08-24T09:10:39,60.00,LOCKED,18.4539,7.0000,15.0000,0.3500,0.7754,0.02,2,classical
2026-08-24T09:10:40,60.00,LOCKED,33.8573,7.0000,15.0000,0.3500,0.7549,0.02,2,classical
2026-08-24T09:10:41,60.00,LOCKED,36.2836,7.0000,15.0000,0.3500,0.7516,0.02,2,classical
2026-08-24T09:10:42,60.00,LOCKED,35.0090,7.0000,15.0000,0.3500,0.7533,0.02,2,classical
2026-08-24T09:10:43,60.00,LOCKED,36.4170,7.0000,15.0000,0.3500,0.7514,0.02,2,classical
2026-08-24T09:10:44,60.00,LOCKED,36.4368,7.0000,15.0000,0.3500,0.7514,0.02,2,classical
2026-08-24T09:10:44,60.00,LOCKED,36.6742,7.0000,15.0000,0.3500,0.7511,0.02,2,classical
2026-08-24T09:10:45,60.00,LOCKED,37.6140,7.0000,15.0000,0.3500,0.7498,0.02,2,classical
2026-08-24T09:10:46,60.00,LOCKED,36.9334,7.0000,15.0000,0.3500,0.7508,0.02,2,classical
2026-08-24T09:10:47,60.00,LOCKED,36.5813,7.0000,15.0000,0.3500,0.7512,0.02,2,classical
2026-08-24T09:10:48,60.00,LOCKED,35.7267,7.0000,15.0000,0.3500,0.7524,0.02,2,classical
2026-08-24T09:10:49,60.00,LOCKED,35.7476,7.0000,15.0000,0.3500,0.7523,0.02,2,classical
2026-08-24T09:10:50,60.00,LOCKED,35.9631,7.0000,15.0000,0.3500,0.7520,0.02,2,classical
2026-08-24T09:10:51,60.00,LOCKED,36.8374,7.0000,15.0000,0.3500,0.7509,0.02,2,classical
2026-08-24T09:10:52,60.00,COASTING,41.2201,7.0000,15.0000,0.3500,0.6150,0.02,2,classical
2026-08-24T09:10:53,60.00,LOCKED,37.0679,7.0000,15.0000,0.3500,0.7506,0.02,2,classical
2026-08-24T09:10:54,60.00,LOCKED,37.4342,7.0000,15.0000,0.3500,0.7501,0.02,2,classical
2026-08-24T09:10:55,60.00,LOCKED,36.8496,7.0000,15.0000,0.3500,0.7509,0.02,2,classical
2026-08-24T09:10:55,60.00,LOCKED,49.4818,7.0000,15.0000,0.3500,0.7340,0.02,2,classical
2026-08-24T09:10:56,60.00,LOCKED,34.8871,7.0000,15.0000,0.3500,0.7535,0.02,2,classical
2026-08-24T09:10:57,60.00,LOCKED,36.8258,7.0000,15.0000,0.3500,0.7509,0.02,2,classical
2026-08-24T09:10:58,60.00,LOCKED,36.1872,7.0000,15.0000,0.3500,0.7518,0.02,2,classical
2026-08-24T09:10:59,60.00,LOCKED,37.2025,7.0000,15.0000,0.3500,0.7504,0.02,2,classical
2026-08-24T09:11:00,60.00,LOCKED,38.1374,7.0000,15.0000,0.3500,0.7492,0.02,2,classical
2026-08-24T09:11:01,60.00,LOCKED,37.1903,7.0000,15.0000,0.3500,0.7504,0.02,2,classical
2026-08-24T09:11:02,60.00,LOCKED,36.3467,7.0000,15.0000,0.3500,0.7515,0.02,2,classical
2026-08-24T09:11:03,60.00,LOCKED,35.8064,7.0000,15.0000,0.3500,0.7523,0.02,2,classical
2026-08-24T09:11:04,60.00,LOCKED,36.6958,7.0000,15.0000,0.3500,0.7511,0.02,2,classical
2026-08-24T09:11:05,60.00,LOCKED,37.0391,7.0000,15.0000,0.3500,0.7506,0.02,2,classical
2026-08-24T09:11:06,60.00,LOCKED,37.2741,7.0000,15.0000,0.3500,0.7503,0.02,2,classical
2026-08-24T09:11:07,60.00,LOCKED,37.8998,7.0000,15.0000,0.3500,0.7495,0.02,2,classical
