timestamp,fps,tracking_state,pixel_error,turbulence_strength,vibration_amplitude,sensor_noise_level,link_readiness_score,cumulative_lost_seconds,reacquisition_count,active_detector
2026-08-24T10:27:17,60.61,LOCKED,6.4749,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:27:18,60.98,LOCKED,24.4759,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:27:19,59.88,LOCKED,34.6576,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:27:20,61.73,LOCKED,35.4906,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:27:21,59.88,LOCKED,36.6811,0.0000,0.0000,0.0000,0.8900,0.00,1,classical
2026-08-24T10:27:23,61.35,LOCKED,23.1598,0.0000,0.0000,0.0000,0.7720,0.00,1,ai
2026-08-24T10:27:24,36.50,LOCKED,53.9179,0.0000,0.0000,0.0000,0.8899,0.00,1,ai
2026-08-24T10:27:25,37.31,LOCKED,55.4103,0.0000,0.0000,0.0000,0.8899,0.00,1,ai
2026-08-24T10:27:26,42.55,LOCKED,37.6550,0.0000,0.0000,0.0000,0.8899,0.00,1,ai
2026-08-24T10:27:27,41.67,LOCKED,30.4761,0.0000,0.0000,0.0000,0.8899,0.00,1,ai
2026-08-24T10:27:28,36.50,LOCKED,34.9832,0.0000,0.0000,0.0000,0.8899,0.00,1,ai
2026-08-24T10:27:29,38.46,LOCKED,28.7086,0.0000,22.8013,0.0000,0.8870,0.00,1,ai
2026-08-24T10:27:30,39.22,LOCKED,37.0225,0.0000,25.2443,0.0000,0.8741,0.00,1,ai
2026-08-24T10:27:31,34.84,LOCKED,44.3226,7.7850,25.2443,0.0000,0.7090,0.00,1,ai
2026-08-24T10:27:32,36.63,LOCKED,16.1810,10.0000,25.2443,0.0000,0.8951,0.00,1,ai
2026-08-24T10:27:33,36.10,LOCKED,33.7791,10.0000,25.2443,0.0000,0.9044,0.00,1,ai
2026-08-24T10:27:34,34.60,LOCKED,52.9318,10.0000,25.2443,0.0000,0.7718,0.00,1,ai
2026-08-24T10:27:35,35.46,LOCKED,36.3835,10.0000,25.2443,0.0000,0.7922,0.00,1,ai
2026-08-24T10:27:36,35.46,LOCKED,43.6706,10.0000,50.0000,0.0000,0.9469,0.00,1,ai
2026-08-24T10:27:37,35.71,LOCKED,86.6459,10.0000,50.0000,0.0000,0.8001,0.00,1,ai
2026-08-24T10:27:38,37.31,LOCKED,51.0760,10.0000,50.0000,0.0000,0.8437,0.00,1,ai
2026-08-24T10:27:39,35.71,LOCKED,96.0315,10.0000,50.0000,0.0000,0.9383,0.00,1,ai
2026-08-24T10:27:40,35.46,LOCKED,64.6695,10.0000,50.0000,0.0000,0.8911,0.00,1,ai
2026-08-24T10:27:41,33.56,LOCKED,60.8892,10.0000,50.0000,0.0000,0.8807,0.00,1,ai
2026-08-24T10:27:42,22.78,LOCKED,73.3893,10.0000,50.0000,1.0000,0.8053,0.00,1,ai
2026-08-24T10:27:43,21.83,LOCKED,58.7308,10.0000,50.0000,1.0000,0.7618,0.00,1,ai
2026-08-24T10:27:44,22.22,LOCKED,44.8613,10.0000,50.0000,1.0000,0.6818,0.00,1,ai
2026-08-24T10:27:45,21.65,LOCKED,73.0884,10.0000,50.0000,1.0000,0.7520,0.00,1,ai
2026-08-24T10:27:46,21.69,LOCKED,42.6102,10.0000,50.0000,1.0000,0.8812,0.00,1,ai
2026-08-24T10:27:47,21.74,LOCKED,45.2843,10.0000,50.0000,1.0000,0.7166,0.00,1,ai
2026-08-24T10:27:48,22.42,COASTING,40.8542,10.0000,50.0000,1.0000,0.5156,0.00,1,ai
2026-08-24T10:27:49,21.74,COASTING,76.1066,10.0000,50.0000,1.0000,0.5302,0.00,1,ai
2026-08-24T10:27:50,20.62,COASTING,52.6694,10.0000,50.0000,1.0000,0.4392,0.00,1,ai
2026-08-24T10:27:51,20.28,LOCKED,17.7753,10.0000,50.0000,1.0000,0.8088,0.00,1,ai
2026-08-24T10:27:52,20.12,LOCKED,29.8224,10.0000,50.0000,1.0000,0.8591,0.00,1,ai
2026-08-24T10:27:53,22.32,LOCKED,27.4763,10.0000,50.0000,1.0000,0.6782,0.00,1,ai
2026-08-24T10:27:54,21.28,LOCKED,5.2915,10.0000,50.0000,1.0000,0.8514,0.00,1,ai
2026-08-24T10:27:55,21.28,LOCKED,14.1829,10.0000,50.0000,1.0000,0.8517,0.00,1,ai
2026-08-24T10:27:56,20.58,LOCKED,27.6459,10.0000,50.0000,1.0000,0.8203,0.00,1,ai
2026-08-24T10:27:58,20.41,COASTING,43.1102,10.0000,50.0000,1.0000,0.5334,0.00,1,ai
2026-08-24T10:27:59,20.20,LOCKED,11.4387,10.0000,50.0000,1.0000,0.7613,0.00,1,ai
2026-08-24T10:28:00,20.88,LOCKED,33.6553,10.0000,50.0000,1.0000,0.9832,0.00,1,ai
2026-08-24T10:28:01,20.92,COASTING,49.7377,10.0000,50.0000,1.0000,0.4315,0.00,1,ai
2026-08-24T10:28:02,19.72,LOCKED,98.1328,10.0000,50.0000,1.0000,0.8854,0.00,1,ai
2026-08-24T10:28:03,20.70,LOCKED,49.3719,10.0000,50.0000,1.0000,0.6976,0.00,1,ai
2026-08-24T10:28:04,20.28,COASTING,57.0326,10.0000,50.0000,1.0000,0.4770,0.00,1,ai
2026-08-24T10:28:05,20.08,LOCKED,41.9563,10.0000,50.0000,1.0000,0.8591,0.00,1,ai
2026-08-24T10:28:06,20.20,LOCKED,27.0505,10.0000,50.0000,1.0000,0.8900,0.00,1,ai
2026-08-24T10:28:07,43.10,COASTING,61.8168,10.0000,50.0000,1.0000,0.6056,0.00,1,classical
2026-08-24T10:28:08,41.84,COASTING,10.4786,10.0000,50.0000,1.0000,0.8676,0.05,2,classical
2026-08-24T10:28:09,43.48,LOCKED,39.6227,10.0000,50.0000,1.0000,0.9777,0.05,2,classical
2026-08-24T10:28:10,41.49,COASTING,111.2130,10.0000,50.0000,1.0000,0.6440,0.25,3,classical
2026-08-24T10:28:11,42.92,COASTING,73.8206,10.0000,50.0000,1.0000,0.6594,0.70,5,classical
2026-08-24T10:28:12,41.49,LOCKED,15.3474,10.0000,50.0000,1.0000,0.8357,0.70,5,ai
2026-08-24T10:28:13,19.27,LOCKED,49.8111,10.0000,50.0000,1.0000,0.9507,0.70,5,ai
2026-08-24T10:28:14,19.84,COASTING,59.5742,10.0000,50.0000,1.0000,0.5254,0.70,5,ai
2026-08-24T10:28:15,19.84,LOCKED,65.6007,10.0000,50.0000,1.0000,0.8588,0.70,5,ai
2026-08-24T10:28:16,20.12,LOCKED,25.1483,10.0000,50.0000,1.0000,0.9311,0.70,5,ai
2026-08-24T10:28:17,21.41,LOCKED,21.7035,10.0000,50.0000,1.0000,0.9865,0.70,5,ai
2026-08-24T10:28:18,19.76,LOCKED,14.0451,10.0000,50.0000,1.0000,0.8973,0.70,5,ai
2026-08-24T10:28:19,19.61,LOCKED,8.3318,10.0000,50.0000,1.0000,0.8255,0.70,5,ai
2026-08-24T10:28:20,19.42,LOCKED,34.6218,10.0000,50.0000,1.0000,0.9276,0.70,5,ai
2026-08-24T10:28:21,19.27,LOCKED,57.1117,10.0000,50.0000,1.0000,0.7636,0.70,5,ai
2026-08-24T10:28:22,19.23,LOCKED,45.9784,10.0000,50.0000,1.0000,0.9363,0.70,5,ai
2026-08-24T10:28:23,20.66,LOCKED,11.1315,10.0000,50.0000,1.0000,0.8001,0.70,5,ai
2026-08-24T10:28:24,22.47,LOCKED,26.0500,10.0000,50.0000,1.0000,0.8821,0.70,5,ai
2026-08-24T10:28:25,22.68,LOCKED,12.6170,10.0000,50.0000,1.0000,0.7423,0.70,5,ai
2026-08-24T10:28:26,23.09,LOCKED,24.8281,10.0000,50.0000,1.0000,0.6985,0.70,5,ai
2026-08-24T10:28:27,21.69,COASTING,39.9346,10.0000,50.0000,1.0000,0.5626,0.70,5,ai
2026-08-24T10:28:28,22.27,LOCKED,33.2592,10.0000,50.0000,1.0000,0.6654,0.70,5,ai
2026-08-24T10:28:29,22.52,LOCKED,29.2416,10.0000,50.0000,1.0000,0.8659,0.70,5,ai
2026-08-24T10:28:30,22.47,LOCKED,15.6918,10.0000,50.0000,1.0000,0.8857,0.70,5,ai
2026-08-24T10:28:31,21.28,LOCKED,35.8829,10.0000,50.0000,1.0000,0.8798,0.70,5,ai
2026-08-24T10:28:32,21.28,LOCKED,64.7904,10.0000,50.0000,1.0000,0.6498,0.70,5,ai
2026-08-24T10:28:33,20.08,COASTING,46.5039,10.0000,50.0000,1.0000,0.4679,0.70,5,ai
2026-08-24T10:28:34,19.92,LOCKED,11.8028,10.0000,50.0000,1.0000,0.8163,0.70,5,ai
2026-08-24T10:28:35,20.53,LOCKED,32.1752,10.0000,50.0000,1.0000,0.9248,0.70,5,ai
2026-08-24T10:28:36,20.75,LOCKED,25.0851,10.0000,50.0000,1.0000,0.7744,0.70,5,ai
2026-08-24T10:28:37,20.92,LOCKED,37.5488,10.0000,50.0000,1.0000,0.8750,0.70,5,ai
2026-08-24T10:28:38,20.92,LOCKED,21.5189,10.0000,50.0000,1.0000,0.8082,0.70,5,ai
2026-08-24T10:28:40,20.96,LOCKED,30.6734,10.0000,50.0000,1.0000,0.9344,0.70,5,ai
2026-08-24T10:28:41,20.88,LOCKED,54.9006,10.0000,50.0000,1.0000,0.8725,0.70,5,ai
2026-08-24T10:28:42,21.79,LOCKED,31.6651,10.0000,50.0000,1.0000,0.8227,0.70,5,ai
